DataExtractDate,ReportPeriod,Arrival_Departure,Domestic_International,CargoType,AirCargoTons
05/01/2014 12:00:00 AM,03/01/2008 12:00:00 AM,Arrival,Domestic,Mail,1778
05/01/2014 12:00:00 AM,03/01/2008 12:00:00 AM,Arrival,International,Freight,51958
05/01/2014 12:00:00 AM,03/01/2008 12:00:00 AM,Arrival,International,Mail,707
05/01/2014 12:00:00 AM,03/01/2008 12:00:00 AM,Departure,Domestic,Freight,35055
05/01/2014 12:00:00 AM,03/01/2008 12:00:00 AM,Departure,Domestic,Mail,2207
05/01/2014 12:00:00 AM,03/01/2008 12:00:00 AM,Departure,International,Freight,37915
05/01/2014 12:00:00 AM,03/01/2008 12:00:00 AM,Departure,International,Mail,1271
05/01/2014 12:00:00 AM,04/01/2008 12:00:00 AM,Arrival,Domestic,Freight,31587
05/01/2014 12:00:00 AM,04/01/2008 12:00:00 AM,Arrival,Domestic,Mail,1806
05/01/2014 12:00:00 AM,04/01/2008 12:00:00 AM,Arrival,International,Freight,50366
05/01/2014 12:00:00 AM,04/01/2008 12:00:00 AM,Arrival,International,Mail,674
05/01/2014 12:00:00 AM,04/01/2008 12:00:00 AM,Departure,Domestic,Freight,34579
05/01/2014 12:00:00 AM,04/01/2008 12:00:00 AM,Departure,Domestic,Mail,2390
05/01/2014 12:00:00 AM,04/01/2008 12:00:00 AM,Departure,International,Freight,35880
05/01/2014 12:00:00 AM,04/01/2008 12:00:00 AM,Departure,International,Mail,1121
05/01/2014 12:00:00 AM,05/01/2008 12:00:00 AM,Arrival,Domestic,Freight,30448
05/01/2014 12:00:00 AM,05/01/2008 12:00:00 AM,Arrival,Domestic,Mail,1859
05/01/2014 12:00:00 AM,05/01/2008 12:00:00 AM,Arrival,International,Freight,48942
05/01/2014 12:00:00 AM,05/01/2008 12:00:00 AM,Arrival,International,Mail,726
05/01/2014 12:00:00 AM,05/01/2008 12:00:00 AM,Departure,Domestic,Freight,35385
05/01/2014 12:00:00 AM,05/01/2008 12:00:00 AM,Departure,Domestic,Mail,2276
05/01/2014 12:00:00 AM,05/01/2008 12:00:00 AM,Departure,International,Freight,38660
05/01/2014 12:00:00 AM,05/01/2008 12:00:00 AM,Departure,International,Mail,1180
05/01/2014 12:00:00 AM,06/01/2008 12:00:00 AM,Arrival,Domestic,Freight,30450
05/01/2014 12:00:00 AM,06/01/2008 12:00:00 AM,Arrival,Domestic,Mail,1736
05/01/2014 12:00:00 AM,06/01/2008 12:00:00 AM,Arrival,International,Freight,50778
05/01/2014 12:00:00 AM,06/01/2008 12:00:00 AM,Arrival,International,Mail,587
05/01/2014 12:00:00 AM,06/01/2008 12:00:00 AM,Departure,Domestic,Freight,31970
05/01/2014 12:00:00 AM,06/01/2008 12:00:00 AM,Departure,Domestic,Mail,2166
05/01/2014 12:00:00 AM,06/01/2008 12:00:00 AM,Departure,International,Freight,38533
05/01/2014 12:00:00 AM,06/01/2008 12:00:00 AM,Departure,International,Mail,1186
05/01/2014 12:00:00 AM,07/01/2008 12:00:00 AM,Arrival,Domestic,Freight,29301
05/01/2014 12:00:00 AM,07/01/2008 12:00:00 AM,Arrival,Domestic,Mail,1778
05/01/2014 12:00:00 AM,07/01/2008 12:00:00 AM,Arrival,International,Freight,51909
05/01/2014 12:00:00 AM,07/01/2008 12:00:00 AM,Arrival,International,Mail,664
05/01/2014 12:00:00 AM,07/01/2008 12:00:00 AM,Departure,Domestic,Freight,32010
05/01/2014 12:00:00 AM,07/01/2008 12:00:00 AM,Departure,Domestic,Mail,2184
05/01/2014 12:00:00 AM,07/01/2008 12:00:00 AM,Departure,International,Freight,36329
05/01/2014 12:00:00 AM,07/01/2008 12:00:00 AM,Departure,International,Mail,1122
05/01/2014 12:00:00 AM,08/01/2008 12:00:00 AM,Arrival,Domestic,Freight,28075
05/01/2014 12:00:00 AM,08/01/2008 12:00:00 AM,Arrival,Domestic,Mail,1561
05/01/2014 12:00:00 AM,08/01/2008 12:00:00 AM,Arrival,International,Freight,49408
05/01/2014 12:00:00 AM,08/01/2008 12:00:00 AM,Arrival,International,Mail,640
05/01/2014 12:00:00 AM,08/01/2008 12:00:00 AM,Departure,Domestic,Freight,31244
05/01/2014 12:00:00 AM,08/01/2008 12:00:00 AM,Departure,Domestic,Mail,2111
05/01/2014 12:00:00 AM,08/01/2008 12:00:00 AM,Departure,International,Freight,34659
05/01/2014 12:00:00 AM,08/01/2008 12:00:00 AM,Departure,International,Mail,1230
05/01/2014 12:00:00 AM,09/01/2008 12:00:00 AM,Arrival,Domestic,Freight,26989
05/01/2014 12:00:00 AM,09/01/2008 12:00:00 AM,Arrival,Domestic,Mail,1531
05/01/2014 12:00:00 AM,09/01/2008 12:00:00 AM,Arrival,International,Freight,48853
05/01/2014 12:00:00 AM,09/01/2008 12:00:00 AM,Arrival,International,Mail,720
05/01/2014 12:00:00 AM,09/01/2008 12:00:00 AM,Departure,Domestic,Freight,30407
05/01/2014 12:00:00 AM,09/01/2008 12:00:00 AM,Departure,Domestic,Mail,1914
05/01/2014 12:00:00 AM,09/01/2008 12:00:00 AM,Departure,International,Freight,31410
05/01/2014 12:00:00 AM,09/01/2008 12:00:00 AM,Departure,International,Mail,900
05/01/2014 12:00:00 AM,10/01/2008 12:00:00 AM,Arrival,Domestic,Freight,29722
05/01/2014 12:00:00 AM,10/01/2008 12:00:00 AM,Arrival,Domestic,Mail,1755
05/01/2014 12:00:00 AM,10/01/2008 12:00:00 AM,Arrival,International,Freight,50874
05/01/2014 12:00:00 AM,10/01/2008 12:00:00 AM,Arrival,International,Mail,747
05/01/2014 12:00:00 AM,10/01/2008 12:00:00 AM,Departure,Domestic,Freight,33840
05/01/2014 12:00:00 AM,10/01/2008 12:00:00 AM,Departure,Domestic,Mail,2152
05/01/2014 12:00:00 AM,10/01/2008 12:00:00 AM,Departure,International,Freight,32479
05/01/2014 12:00:00 AM,10/01/2008 12:00:00 AM,Departure,International,Mail,1136
05/01/2014 12:00:00 AM,11/01/2008 12:00:00 AM,Arrival,Domestic,Freight,27881
05/01/2014 12:00:00 AM,11/01/2008 12:00:00 AM,Arrival,Domestic,Mail,1543
05/01/2014 12:00:00 AM,11/01/2008 12:00:00 AM,Arrival,International,Freight,41597
05/01/2014 12:00:00 AM,11/01/2008 12:00:00 AM,Arrival,International,Mail,792
05/01/2014 12:00:00 AM,11/01/2008 12:00:00 AM,Departure,Domestic,Freight,29409
05/01/2014 12:00:00 AM,11/01/2008 12:00:00 AM,Departure,Domestic,Mail,2185
05/01/2014 12:00:00 AM,11/01/2008 12:00:00 AM,Departure,International,Freight,29016
05/01/2014 12:00:00 AM,11/01/2008 12:00:00 AM,Departure,International,Mail,1061
05/01/2014 12:00:00 AM,12/01/2008 12:00:00 AM,Arrival,Domestic,Freight,27395
05/01/2014 12:00:00 AM,12/01/2008 12:00:00 AM,Arrival,Domestic,Mail,1583
05/01/2014 12:00:00 AM,12/01/2008 12:00:00 AM,Arrival,International,Freight,33879
05/01/2014 12:00:00 AM,12/01/2008 12:00:00 AM,Arrival,International,Mail,988
05/01/2014 12:00:00 AM,12/01/2008 12:00:00 AM,Departure,Domestic,Freight,33621
05/01/2014 12:00:00 AM,12/01/2008 12:00:00 AM,Departure,Domestic,Mail,2472
05/01/2014 12:00:00 AM,12/01/2008 12:00:00 AM,Departure,International,Freight,26804
05/01/2014 12:00:00 AM,12/01/2008 12:00:00 AM,Departure,International,Mail,1375
05/01/2014 12:00:00 AM,01/01/2009 12:00:00 AM,Arrival,Domestic,Freight,24831
05/01/2014 12:00:00 AM,01/01/2009 12:00:00 AM,Arrival,Domestic,Mail,1645
05/01/2014 12:00:00 AM,01/01/2009 12:00:00 AM,Arrival,International,Freight,30958
